Date,Open,High,Low,Close,Volume,Adj Close
2009-02-02,5.62,6.15,2.72,2.85,7119100,2.78744
2009-01-02,7.73,9.70,5.39,5.67,7444000,5.545539
2008-12-01,5.79,8.05,4.88,7.73,5256000,7.56032
2008-11-03,10.54,11.24,4.00,5.96,8248400,5.829173
2008-10-01,6.01,10.99,3.16,10.14,10861200,9.917418
2008-09-02,9.90,10.46,5.29,6.03,11356800,5.897636
2008-08-01,5.30,9.79,4.68,8.49,17861700,8.303638
2008-07-01,2.46,5.80,1.45,5.06,13499200,4.948929
2008-06-02,4.03,4.77,2.30,2.50,10425700,2.445123
2008-05-01,8.65,9.62,3.96,3.96,5736900,3.873075
2008-04-01,9.20,9.94,6.10,8.59,3731200,8.401443
2008-03-03,12.19,12.96,7.24,8.91,3678000,8.714417
2008-02-01,13.98,16.440001,12.40,12.40,2823300,12.12781
2008-01-02,14.55,14.58,10.18,13.84,4928400,13.536201
2007-12-03,21.209999,21.209999,14.41,14.71,3263500,14.387103
2007-11-01,27.25,27.50,18.00,20.77,3520800,20.314081
2007-10-01,26.620001,33.450001,26.00,27.66,2803300,27.052839
2007-09-04,30.860001,33.959999,25.700001,26.25,2209600,25.67379
2007-08-01,30.73,32.709999,24.26,30.950001,2237900,30.270622
2007-07-02,30.68,36.810001,30.379999,31.01,2990400,30.329304
2007-06-01,35.720001,35.959999,26.780001,30.27,3169200,29.605549
2007-05-01,36.700001,37.41,32.099998,35.650002,3389200,34.867455
2007-04-02,45.259998,48.299999,36.68,36.939999,3013000,36.129135
2007-03-01,51.00,53.09,44.009998,45.48,1970400,44.481674
2007-02-01,56.50,59.849998,50.599998,52.290001,1737200,51.142193
2007-01-03,53.889999,62.50,51.52,55.98,3103100,54.75119
2006-12-01,57.509998,62.700001,53.849998,53.849998,1995800,52.667946
2006-11-01,49.950001,63.27,47.00,56.759998,2668600,55.514069
2006-10-02,45.00,51.650002,43.810001,49.860001,1961300,48.765533
2006-09-01,42.400002,48.290001,38.799999,44.330002,1854700,43.356922
2006-08-01,45.599998,47.029999,36.799999,42.25,1753600,41.322578
2006-07-03,50.630001,56.41,44.75,45.689999,1982700,44.687065
2006-06-01,45.68,50.900002,41.00,50.540001,1801600,49.430607
2006-05-01,43.189999,52.18,42.759998,46.700001,1489500,45.674896
2006-04-03,40.00,44.700001,36.189999,43.259998,1558400,42.310406
2006-03-01,33.09,40.02,31.32,40.00,1086400,39.121967
2006-02-01,29.10,35.02,28.35,33.09,628700,32.363647
2006-01-03,37.200001,40.599998,28.299999,29.34,912700,28.695963
2005-12-01,34.00,38.799999,31.379999,37.139999,513500,36.324745
2005-11-01,24.700001,34.549999,24.690001,33.59,956700,32.852673
2005-10-03,20.90,25.35,20.85,24.68,947800,24.138254
2005-09-27,21.049999,21.40,19.10,21.01,3508400,20.548813
